日　　期,市　　場,產　　品,上價,中價,下價,平均價(元/公斤),增減%,交易量(公斤),增減%.1,Unnamed: 10
113/11/12,241 三重區,LH2 菠菜 角葉 ,40.0,40.0,40.0,40.0,  -  ,20.0,  -  ,0
113/11/12,109 台北一,LH2 菠菜 角葉 ,101.2,88.9,66.4,86.9, - 42,805.0, +235,0
113/11/12,338 桃　農,LH1 菠菜 圓葉 ,134.9,93.6,52.5,93.6, -  4,942.0, +110,0
113/11/12,338 桃　農,LH2 菠菜 角葉 ,75.0,69.5,50.0,66.7,  -  ,60.0,  -  ,0
113/11/12,830 鳳山區,LH1 菠菜 圓葉 ,90.1,36.4,25.0,44.9, + 36,680.0, - 12,0
113/11/12,420 豐原區,LH1 菠菜 圓葉 ,136.0,116.2,82.4,113.4, +  5,378.0, +191,0
113/11/12,220 板橋區,LH2 菠菜 角葉 ,100.0,97.9,77.0,94.1, + 74,170.1, + 70,0
113/11/12,260 宜蘭市,LH1 菠菜 圓葉 ,150.0,100.0,70.0,100.0, + 11,2650.0,    0,0
113/11/12,109 台北一,LH1 菠菜 圓葉 ,167.6,114.2,78.2,117.7,    0,4984.0, + 17,0
113/11/12,220 板橋區,LH1 菠菜 圓葉 ,134.8,109.9,85.0,109.9, -  9,1099.0, + 36,0
113/11/12,648 西螺鎮,LH2 菠菜 角葉 ,100.0,80.0,40.0,76.8, +  1,6851.0, -  3,0
113/11/12,104 台北二,LH2 菠菜 角葉 ,128.0,116.5,62.9,108.1, +  9,296.0, + 10,0
113/11/12,900 屏東市,LH1 菠菜 圓葉 ,93.8,44.9,15.0,44.9, + 87,749.0, + 13,0
113/11/12,900 屏東市,LH2 菠菜 角葉 ,65.0,65.0,65.0,65.0,  -  ,120.0,  -  ,0
113/11/12,800 高雄市,LH2 菠菜 角葉 ,155.0,126.4,53.6,117.56, +  8,780.0, + 14,0
113/11/12,800 高雄市,LH1 菠菜 圓葉 ,131.9,93.7,65.0,95.57, + 11,899.0, - 19,0
113/11/12,104 台北二,LH1 菠菜 圓葉 ,130.2,92.2,64.6,94.3, - 13,3196.0, + 24,0
113/11/12,400 台中市,LH1 菠菜 圓葉 ,127.5,103.8,76.2,107.2, -  1,744.0, + 57,0
113/11/13,830 鳳山區,LH1 菠菜 圓葉 ,107.9,41.3,28.6,52.1, + 16,430.0, - 37,0
113/11/13,109 台北一,LH2 菠菜 角葉 ,95.0,87.7,46.6,80.9, -  7,670.0, - 17,0
113/11/13,900 屏東市,LH1 菠菜 圓葉 ,99.4,62.9,28.0,62.9, + 40,399.0, - 47,0
113/11/13,241 三重區,LH1 菠菜 圓葉 ,134.4,122.2,74.5,115.1, +  6,684.0, +  2,0
113/11/13,104 台北二,LH1 菠菜 圓葉 ,125.5,86.2,67.6,90.4, -  4,2698.0, - 16,0
113/11/13,400 台中市,LH2 菠菜 角葉 ,97.0,97.0,97.0,97.0,  -  ,40.0,  -  ,0
113/11/13,400 台中市,LH1 菠菜 圓葉 ,116.4,78.6,70.0,84.2, - 21,774.0, +  4,0
113/11/13,420 豐原區,LH1 菠菜 圓葉 ,133.0,124.4,110.0,123.2, +  9,188.0, - 50,0
113/11/13,260 宜蘭市,LH1 菠菜 圓葉 ,150.0,80.0,60.0,80.0, - 20,2750.0, +  4,0
113/11/13,338 桃　農,LH1 菠菜 圓葉 ,112.0,77.0,30.9,74.8, - 20,836.0, - 11,0
113/11/13,648 西螺鎮,LH2 菠菜 角葉 ,100.0,79.8,40.0,76.3, -  1,7387.0, +  8,0
113/11/13,220 板橋區,LH1 菠菜 圓葉 ,133.8,106.6,74.8,105.7, -  4,944.0, - 14,0
113/11/13,220 板橋區,LH2 菠菜 角葉 ,90.0,79.3,63.2,78.2, - 17,244.0, + 43,0
113/11/13,338 桃　農,LH2 菠菜 角葉 ,73.0,64.4,40.0,61.3, -  8,160.0, +167,0
113/11/13,800 高雄市,LH1 菠菜 圓葉 ,144.3,96.4,74.7,101.66, +  6,1132.0, + 26,0
113/11/13,800 高雄市,LH2 菠菜 角葉 ,151.7,112.4,75.0,112.78, -  4,450.0, - 42,0
113/11/13,109 台北一,LH1 菠菜 圓葉 ,154.6,94.2,64.2,100.3, - 15,5046.0, +  1,0
113/11/13,104 台北二,LH2 菠菜 角葉 ,126.6,120.7,60.0,109.8, +  2,276.0, -  7,0
113/11/14,109 台北一,LH2 菠菜 角葉 ,76.0,72.4,55.0,69.6, - 14,540.0, - 19,0
113/11/14,109 台北一,LH1 菠菜 圓葉 ,148.6,90.0,56.0,94.9, -  5,5949.0, + 18,0
113/11/14,338 桃　農,LH1 菠菜 圓葉 ,132.8,83.6,57.3,88.2, + 18,824.0, -  1,0
113/11/14,900 屏東市,LH1 菠菜 圓葉 ,93.8,38.6,15.0,38.6, - 39,912.0, +129,0
113/11/14,104 台北二,LH1 菠菜 圓葉 ,124.5,94.7,66.4,95.0, +  5,2235.0, - 17,0
113/11/14,800 高雄市,LH1 菠菜 圓葉 ,142.2,97.2,66.6,100.09, -  2,1288.0, + 14,0
