日　　期,市　　場,產　　品,上價,中價,下價,平均價(元/公斤),增減%,交易量(公斤),增減%.1,Unnamed: 10
107/11/15,830 鳳山區,LA1 甘藍 初秋 ,11.8,7.0,4.0,7.4, +  7,17910.0, -  3,0
107/11/15,540 南投市,LA1 甘藍 初秋 ,8.0,6.0,3.0,5.0, - 42,1696.0, + 64,0
107/11/15,420 豐原區,LA1 甘藍 初秋 ,8.1,7.2,5.0,6.93, + 15,15660.0, +  6,0
107/11/15,104 台北二,LA1 甘藍 初秋 ,12.8,5.1,3.1,6.2, - 16,63294.0, -  6,0
107/11/15,220 板橋區,LA1 甘藍 初秋 ,8.8,8.1,5.8,7.8, -  1,39363.0, + 77,0
107/11/15,800 高雄市,LA1 甘藍 初秋 ,14.5,10.9,5.2,10.5, -  3,63853.0, +  7,0
107/11/15,260 宜蘭市,LA1 甘藍 初秋 ,30.0,22.0,12.0,22.0, - 12,3580.0, +  7,0
107/11/15,512 永靖鄉,LA1 甘藍 初秋 ,9.0,6.0,5.0,6.5, +  2,30800.0, +213,0
107/11/15,900 屏東市,LA1 甘藍 初秋 ,14.4,7.8,5.0,7.8,    0,27796.0, -  5,0
107/11/15,514 溪湖鎮,LA1 甘藍 初秋 ,8.7,6.3,4.2,6.3,    0,63130.0, -  4,0
107/11/16,540 南投市,LA1 甘藍 初秋 ,7.5,5.0,2.0,4.95, -  1,1745.0, +  3,0
107/11/16,514 溪湖鎮,LA1 甘藍 初秋 ,8.6,6.2,4.1,6.3,    0,64200.0, +  2,0
107/11/16,800 高雄市,LA1 甘藍 初秋 ,13.8,9.4,3.9,9.2, - 12,70419.0, + 10,0
107/11/16,648 西螺鎮,LA1 甘藍 初秋 ,7.9,5.1,3.3,5.2,    0,267702.0, + 10,0
107/11/16,512 永靖鄉,LA1 甘藍 初秋 ,9.0,6.0,4.0,6.8, +  5,40875.0, + 33,0
107/11/16,900 屏東市,LA1 甘藍 初秋 ,15.1,7.6,3.7,7.6, -  3,29217.0, +  5,0
107/11/16,104 台北二,LA1 甘藍 初秋 ,11.6,4.3,3.1,5.5, - 11,65659.0, +  4,0
107/11/16,260 宜蘭市,LA1 甘藍 初秋 ,22.0,10.0,2.0,10.0, - 55,3580.0,    0,0
107/11/16,109 台北一,LA1 甘藍 初秋 ,14.2,6.0,4.2,7.3, -  3,179085.0, + 16,0
107/11/16,400 台中市,LA1 甘藍 初秋 ,6.9,4.7,3.3,5.2, -  5,16290.0, - 18,0
107/11/16,220 板橋區,LA1 甘藍 初秋 ,8.5,6.5,3.9,6.4, - 18,35792.0, -  9,0
107/11/16,930 台東市,LA1 甘藍 初秋 ,15.0,10.0,6.0,11.0, + 10,4904.0, - 30,0
