日期,價格(元/公斤),價格(元/公斤)_lag1,價格(元/公斤)_lag7,價格(元/公斤)_lag14,價格(元/公斤)_ma3,價格(元/公斤)_ma7,氣溫(℃)_rollmean_7d,最低氣溫(℃)_rollmean_7d,最低氣溫(℃)_rollmin_7d,降水量(mm)_rollsum_7d,日照時數(hour)_rollmean_7d,相對溼度(%)_rollmean_7d,最大陣風(m/s)_rollmax_7d,is_cold_wave,is_strong_cold,is_frost_risk,is_heavy_rain,is_strong_wind,consecutive_rainy_days,month_sin,month_cos,is_winter
109/01/24,16.165454545454544,,,,,,,,,,,,,,,,,,,0.4999999999999999,0.8660254037844387,1.0
109/01/29,23.5,,,,,,,,,,,,,,,,,,,0.4999999999999999,0.8660254037844387,1.0
109/01/30,24.405833333333334,,,,,,,,,,,,,,,,,,,0.4999999999999999,0.8660254037844387,1.0
109/01/31,25.8,,,,,,,,,,,,,,,,,,,0.4999999999999999,0.8660254037844387,1.0
109/11/01,29.31272727272728,,,,,,,,,,,,,,,,,,,-0.5000000000000004,0.8660254037844384,1.0
109/11/02,28.1,,,,,,,,,,,,,,,,,,,-0.5000000000000004,0.8660254037844384,1.0
109/11/03,33.48142857142857,,,,,,,,,,,,,,,,,,,-0.5000000000000004,0.8660254037844384,1.0
109/11/04,35.80142857142857,,,,,,,,,,,,,,,,,,,-0.5000000000000004,0.8660254037844384,1.0
109/11/05,34.98461538461539,,,,,,,,,,,,,,,,,,,-0.5000000000000004,0.8660254037844384,1.0
109/11/06,34.839230769230774,,,,,,,,,,,,,,,,,,,-0.5000000000000004,0.8660254037844384,1.0
109/11/07,35.033076923076926,,,,,,,,,,,,,,,,,,,-0.5000000000000004,0.8660254037844384,1.0
109/11/08,36.14833333333333,,,,,,,,,,,,,,,,,,,-0.5000000000000004,0.8660254037844384,1.0
109/11/09,32.6,,,,,,,,,,,,,,,,,,,-0.5000000000000004,0.8660254037844384,1.0
109/11/10,38.32142857142857,,,,,,,,,,,,,,,,,,,-0.5000000000000004,0.8660254037844384,1.0
109/11/11,42.75,,,,,,,,,,,,,,,,,,,-0.5000000000000004,0.8660254037844384,1.0
109/11/12,34.596666666666664,,,,,,,,,,,,,,,,,,,-0.5000000000000004,0.8660254037844384,1.0
109/11/13,40.03846153846154,,,,,,,,,,,,,,,,,,,-0.5000000000000004,0.8660254037844384,1.0
109/11/14,43.43076923076923,,,,,,,,,,,,,,,,,,,-0.5000000000000004,0.8660254037844384,1.0
109/11/15,40.96666666666666,,,,,,,,,,,,,,,,,,,-0.5000000000000004,0.8660254037844384,1.0
109/11/16,32.8,,,,,,,,,,,,,,,,,,,-0.5000000000000004,0.8660254037844384,1.0
109/11/17,40.64615384615384,,,,,,,,,,,,,,,,,,,-0.5000000000000004,0.8660254037844384,1.0
109/11/18,36.89571428571429,,,,,,,,,,,,,,,,,,,-0.5000000000000004,0.8660254037844384,1.0
109/11/19,34.47769230769231,,,,,,,,,,,,,,,,,,,-0.5000000000000004,0.8660254037844384,1.0
109/11/20,31.43230769230769,,,,,,,,,,,,,,,,,,,-0.5000000000000004,0.8660254037844384,1.0
109/11/21,35.19461538461538,,,,,,,,,,,,,,,,,,,-0.5000000000000004,0.8660254037844384,1.0
109/11/22,38.27,,,,,,,,,,,,,,,,,,,-0.5000000000000004,0.8660254037844384,1.0
109/11/23,36.43333333333334,,,,,,,,,,,,,,,,,,,-0.5000000000000004,0.8660254037844384,1.0
109/11/24,37.333333333333336,,,,,,,,,,,,,,,,,,,-0.5000000000000004,0.8660254037844384,1.0
109/11/25,33.77692307692308,,,,,,,,,,,,,,,,,,,-0.5000000000000004,0.8660254037844384,1.0
109/11/26,35.31428571428571,,,,,,,,,,,,,,,,,,,-0.5000000000000004,0.8660254037844384,1.0
109/11/27,35.169230769230765,,,,,,,,,,,,,,,,,,,-0.5000000000000004,0.8660254037844384,1.0
109/11/28,32.97769230769231,,,,,,,,,,,,,,,,,,,-0.5000000000000004,0.8660254037844384,1.0
109/11/29,32.303333333333335,,,,,,,,,,,,,,,,,,,-0.5000000000000004,0.8660254037844384,1.0
109/11/30,28.5,,,,,,,,,,,,,,,,,,,-0.5000000000000004,0.8660254037844384,1.0
109/12/01,32.62230769230769,,,,,,,,,,,,,,,,,,,-2.4492935982947064e-16,1.0,1.0
109/12/02,30.15357142857143,,,,,,,,,,,,,,,,,,,-2.4492935982947064e-16,1.0,1.0
109/12/03,26.05923076923077,,,,,,,,,,,,,,,,,,,-2.4492935982947064e-16,1.0,1.0
109/12/04,24.442857142857143,,,,,,,,,,,,,,,,,,,-2.4492935982947064e-16,1.0,1.0
109/12/05,25.04,,,,,,,,,,,,,,,,,,,-2.4492935982947064e-16,1.0,1.0
109/12/06,24.2125,,,,,,,,,,,,,,,,,,,-2.4492935982947064e-16,1.0,1.0
109/12/07,23.700000000000003,,,,,,,,,,,,,,,,,,,-2.4492935982947064e-16,1.0,1.0
109/12/08,23.95615384615385,,,,,,,,,,,,,,,,,,,-2.4492935982947064e-16,1.0,1.0
109/12/09,22.212857142857143,,,,,,,,,,,,,,,,,,,-2.4492935982947064e-16,1.0,1.0
109/12/10,23.03642857142857,,,,,,,,,,,,,,,,,,,-2.4492935982947064e-16,1.0,1.0
109/12/11,20.27846153846154,,,,,,,,,,,,,,,,,,,-2.4492935982947064e-16,1.0,1.0
109/12/12,18.407692307692308,,,,,,,,,,,,,,,,,,,-2.4492935982947064e-16,1.0,1.0
109/12/13,19.313333333333333,,,,,,,,,,,,,,,,,,,-2.4492935982947064e-16,1.0,1.0
109/12/14,18.4,,,,,,,,,,,,,,,,,,,-2.4492935982947064e-16,1.0,1.0
109/12/15,21.514285714285712,,,,,,,,,,,,,,,,,,,-2.4492935982947064e-16,1.0,1.0
109/12/16,21.49,,,,,,,,,,,,,,,,,,,-2.4492935982947064e-16,1.0,1.0
109/12/17,22.605833333333333,,,,,,,,,,,,,,,,,,,-2.4492935982947064e-16,1.0,1.0
109/12/18,27.717,,,,,,,,,,,,,,,,,,,-2.4492935982947064e-16,1.0,1.0
109/12/19,27.19,,,,,,,,,,,,,,,,,,,-2.4492935982947064e-16,1.0,1.0
109/12/20,30.47272727272728,,,,,,,,,,,,,,,,,,,-2.4492935982947064e-16,1.0,1.0
109/12/21,25.8,,,,,,,,,,,,,,,,,,,-2.4492935982947064e-16,1.0,1.0
109/12/22,28.72307692307692,,,,,,,,,,,,,,,,,,,-2.4492935982947064e-16,1.0,1.0
109/12/23,27.97,,,,,,,,,,,,,,,,,,,-2.4492935982947064e-16,1.0,1.0
